Deck Name,URL,Player,Card Kingdom,TCG Player,Manatraders,Cardhoarder,Format
Boros Metalcraft,http://www.mtgtop8.com/event?e=27401&d=417429&f=PAU,Okauchi Yuuta,51,420,9.95,45,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27450&d=418047&f=PAU,dragon7k,52,426,9.95,59,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27441&d=417946&f=PAU,Boin,52,330,9.95,54,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27442&d=417964&f=PAU,Forgotten,62,362,9.95,60,PAU
Boros Monarch,http://www.mtgtop8.com/event?e=27405&d=417457&f=PAU,Henrique Fernandes,52,402,9.95,49,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27441&d=417949&f=PAU,uspdudes,42,346,9.95,23,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27444&d=417971&f=PAU,Hiro_taquara,54,410,9.95,38,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27441&d=417941&f=PAU,Store_Shop17,45,371,9.95,46,PAU
Boros Monarch,http://www.mtgtop8.com/event?e=26896&d=409698&f=PAU,Takamura_,52,374,9.95,40,PAU
Ub Delver,http://www.mtgtop8.com/event?e=27050&d=412614&f=PAU,Jeferson Borba,61,733,9.95,64,PAU
Marduu First Leandro Drops,http://www.mtgtop8.com/event?e=26796&d=407931&f=PAU,Leandro Wegner,56,340,9.95,42,PAU
UB Delver,http://www.mtgtop8.com/event?e=27096&d=413050&f=PAU,RiuuK1,69,735,9.95,67,PAU
Ub Delver,http://www.mtgtop8.com/event?e=27256&d=414571&f=PAU,Gabriel Francisco Silva,61,680,9.95,65,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27357&d=416961&f=PAU,CrilaPeoty,42,322,9.95,53,PAU
Boros Monarch,http://www.mtgtop8.com/event?e=27253&d=414548&f=PAU,Zaaaamu,52,426,9.95,55,PAU
Mardu Monarch,http://www.mtgtop8.com/event?e=26896&d=409699&f=PAU,Hugo,49,422,9.95,54,PAU
UB Delver,http://www.mtgtop8.com/event?e=27450&d=418048&f=PAU,NY8381,66,586,9.95,30,PAU
UB Delver,http://www.mtgtop8.com/event?e=27439&d=417910&f=PAU,Edubalf,81,746,9.95,73,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27096&d=413051&f=PAU,murilobds,50,398,9.95,45,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27439&d=417913&f=PAU,Jh0w,55,427,9.95,52,PAU
UB Delver,http://www.mtgtop8.com/event?e=27354&d=416936&f=PAU,bombaj,70,590,9.95,81,PAU
Boros Monarc,http://www.mtgtop8.com/event?e=27124&d=413329&f=PAU,Gabriel Zapellaro,56,332,9.95,45,PAU
Boros Tokens,http://www.mtgtop8.com/event?e=27167&d=413753&f=PAU,Store_Shop17,49,338,9.95,47,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27144&d=413537&f=PAU,_Batutinha_,60,361,9.95,62,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27249&d=414486&f=PAU,Brunods25,58,415,9.95,40,PAU
UB Delver,http://www.mtgtop8.com/event?e=27441&d=417944&f=PAU,qbturtle15,68,593,9.95,74,PAU
UB Delver,http://www.mtgtop8.com/event?e=27357&d=416956&f=PAU,trM,82,597,9.95,89,PAU
UB Delver,http://www.mtgtop8.com/event?e=27167&d=413759&f=PAU,DolphinPengu,81,592,9.95,88,PAU
Boros Metalcraft,http://www.mtgtop8.com/event?e=27166&d=413724&f=PAU,gottelicious,57,380,9.95,54,PAU
UB Delver,http://www.mtgtop8.com/event?e=27167&d=413758&f=PAU,roxozin,69,739,9.95,77,PAU
UB Delver,http://www.mtgtop8.com/event?e=26683&d=406594&f=PAU,ManuGodineau,89,608,9.95,69,PAU
Ub Delver,http://www.mtgtop8.com/event?e=27009&d=411629&f=PAU,Gabriel Silva,49,675,9.95,75,PAU
Ub Delver,http://www.mtgtop8.com/event?e=26796&d=407934&f=PAU,William Kock (elfo),61,733,9.95,64,PAU
UB Delver,http://www.mtgtop8.com/event?e=26918&d=409972&f=PAU,Hyusakii,86,751,9.95,84,PAU
Ub Delver,http://www.mtgtop8.com/event?e=26796&d=407932&f=PAU,Adriano Oliveira,65,733,9.95,69,PAU
UB Delver,http://www.mtgtop8.com/event?e=26990&d=411417&f=PAU,Ixidor29,69,739,9.95,77,PAU
Stompy,http://www.mtgtop8.com/event?e=27405&d=417456&f=PAU,Michele Pickler,50,51,9.95,29,PAU
UB Delver,http://www.mtgtop8.com/event?e=26683&d=406588&f=PAU,leclairandy,68,690,9.95,84,PAU
UB Delver,http://www.mtgtop8.com/event?e=26688&d=406654&f=PAU,IHaveTopTop,84,598,9.95,88,PAU
Stompy,http://www.mtgtop8.com/event?e=27327&d=416520&f=PAU,Rodrigo Finardi Torres,46,48,9.95,21,PAU
Stompy,http://www.mtgtop8.com/event?e=27327&d=416519&f=PAU,Caio Duarte,46,48,9.95,21,PAU
Mono Green Aggro,http://www.mtgtop8.com/event?e=27357&d=416951&f=PAU,Beranrd,48,54,9.95,24,PAU
Stompy,http://www.mtgtop8.com/event?e=26726&d=407027&f=PAU,Matheus G.pereira,48,49,9.95,24,PAU
Stompy,http://www.mtgtop8.com/event?e=27206&d=414068&f=PAU,Tersow,48,55,9.95,23,PAU
Stompy,http://www.mtgtop8.com/event?e=27369&d=417056&f=PAU,Kalko,46,52,9.95,23,PAU
Mono Green Aggro,http://www.mtgtop8.com/event?e=27354&d=416932&f=PAU,enotar,48,54,9.95,24,PAU
Stompy,http://www.mtgtop8.com/event?e=27253&d=414550&f=PAU,Gabrielsmf,48,54,9.95,24,PAU
Stompy,http://www.mtgtop8.com/event?e=26952&d=410861&f=PAU,Rodrigo Finardi Torres,51,57,9.95,25,PAU
Mono Green Aggro,http://www.mtgtop8.com/event?e=27096&d=413049&f=PAU,SacredDevil,48,54,9.95,24,PAU
Stompy,http://www.mtgtop8.com/event?e=26952&d=410863&f=PAU,Caio Duarte,49,56,9.95,24,PAU
Mono Green Aggro,http://www.mtgtop8.com/event?e=27439&d=417909&f=PAU,Kabutinho,48,54,9.95,24,PAU
Mono Green Infect,http://www.mtgtop8.com/event?e=27050&d=412615&f=PAU,Jaison A Nascimento,47,52,9.95,12,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27357&d=416952&f=PAU,Hamuda,48,157,9.95,30,PAU
Affinity,http://www.mtgtop8.com/event?e=27248&d=414475&f=PAU,Fuguete,46,278,9.95,22,PAU
Affinity,http://www.mtgtop8.com/event?e=27369&d=417053&f=PAU,Samaggy,37,199,9.95,16,PAU
Jeskai Affinity,http://www.mtgtop8.com/event?e=27206&d=414070&f=PAU,Lordlufrew,44,277,9.95,26,PAU
Mono Green Aggro,http://www.mtgtop8.com/event?e=27167&d=413751&f=PAU,SacredDevil,48,54,9.95,24,PAU
Jeskai Affinity,http://www.mtgtop8.com/event?e=27253&d=414545&f=PAU,Bobaraujo,41,270,9.95,24,PAU
Stompy,http://www.mtgtop8.com/event?e=27234&d=414339&f=PAU,Caio Duarte,49,56,9.95,24,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27167&d=413743&f=PAU,Hamuda,43,206,9.95,34,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=26683&d=406591&f=PAU,Xwhale,49,61,9.95,43,PAU
Affinity,http://www.mtgtop8.com/event?e=27009&d=411628&f=PAU,Vinicius Bastos,36,103,9.95,20,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27166&d=413726&f=PAU,Nammersquats,49,70,9.95,43,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=27144&d=413535&f=PAU,_against_,48,58,9.95,38,PAU
Atog Affinity,http://www.mtgtop8.com/event?e=26918&d=409976&f=PAU,Rafaeljesus,41,272,9.95,28,PAU
WW Heroics,http://www.mtgtop8.com/event?e=27444&d=417968&f=PAU,Kidsliver,27,32,9.95,8,PAU
Temur Affinity,http://www.mtgtop8.com/event?e=26726&d=407026&f=PAU,Murilo Zimmermann,36,102,9.95,20,PAU
WW Heroics,http://www.mtgtop8.com/event?e=27444&d=417969&f=PAU,Christaren,32,38,9.95,16,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27253&d=414546&f=PAU,Ravisor,31,36,9.95,11,PAU
White Weenie,http://www.mtgtop8.com/event?e=27253&d=414547&f=PAU,Lordlufrew,24,32,9.95,5,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27369&d=417050&f=PAU,Christaren,32,38,9.95,16,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27253&d=414552&f=PAU,Christaren,32,38,9.95,13,PAU
Burn,http://www.mtgtop8.com/event?e=27249&d=414483&f=PAU,Wdf,60,351,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27439&d=417916&f=PAU,Peixao4247j,62,362,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27405&d=417459&f=PAU,Rodrigo Richter,63,356,9.95,29,PAU
Burn,http://www.mtgtop8.com/event?e=27354&d=416928&f=PAU,Callad0,61,363,9.95,15,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27401&d=417426&f=PAU,Ohnishi Shuto,46,340,9.95,36,PAU
WW Heroics,http://www.mtgtop8.com/event?e=27166&d=413727&f=PAU,lokarionn,28,34,9.95,14,PAU
Burn,http://www.mtgtop8.com/event?e=27166&d=413725&f=PAU,Mcleskey,62,362,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27166&d=413739&f=PAU,Kaleidocops,62,351,9.95,16,PAU
Burn,http://www.mtgtop8.com/event?e=27009&d=411630&f=PAU,Bruno Bordin,62,352,9.95,18,PAU
WW Heroics,http://www.mtgtop8.com/event?e=26683&d=406590&f=PAU,DatabaseError,26,37,9.95,5,PAU
Burn,http://www.mtgtop8.com/event?e=27357&d=416959&f=PAU,HeWhoIsInTheWater,61,363,9.95,19,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27206&d=414065&f=PAU,Christaren,32,37,9.95,13,PAU
Mono White Heroic,http://www.mtgtop8.com/event?e=27234&d=414338&f=PAU,Doval J̼nior,28,30,9.95,10,PAU
Burn,http://www.mtgtop8.com/event?e=26990&d=411418&f=PAU,Protossido,69,360,9.95,28,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27369&d=417052&f=PAU,Lucas_tostes,36,372,9.95,9,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27369&d=417051&f=PAU,Masterofphysics,37,395,9.95,10,PAU
Goblins,http://www.mtgtop8.com/event?e=27439&d=417912&f=PAU,Jeremiaa,48,410,9.95,27,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27248&d=414473&f=PAU,Lucas_tostes,36,372,9.95,9,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27249&d=414481&f=PAU,Fagner,37,411,9.95,26,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=26918&d=409975&f=PAU,Fagner,37,401,9.95,27,PAU
Monoblack Control,http://www.mtgtop8.com/event?e=27253&d=414551&f=PAU,Matthawk,28,52,9.95,3,PAU
Mono-black Control,http://www.mtgtop8.com/event?e=27206&d=414063&f=PAU,Catacuio,36,73,9.95,39,PAU
Mono Black Aggro,http://www.mtgtop8.com/event?e=26688&d=406657&f=PAU,lujo86,21,45,9.95,3,PAU
Devotion to Black,http://www.mtgtop8.com/event?e=27439&d=417914&f=PAU,Matthawk,28,52,9.95,3,PAU
Monoblack Control,http://www.mtgtop8.com/event?e=27369&d=417055&f=PAU,Impatientraveller,30,49,9.95,58,PAU
Monoblack Control,http://www.mtgtop8.com/event?e=27009&d=411631&f=PAU,Guilherme Dos Santos,31,57,9.95,36,PAU
Red Deck Wins,http://www.mtgtop8.com/event?e=27167&d=413748&f=PAU,Mordred_,35,323,9.95,7,PAU
Devotion to Black,http://www.mtgtop8.com/event?e=26990&d=411416&f=PAU,Raptor56,58,83,9.95,75,PAU
Elfos,http://www.mtgtop8.com/event?e=26952&d=410859&f=PAU,William Kock (elfo),100,130,9.95,39,PAU
Elves,http://www.mtgtop8.com/event?e=27357&d=416953&f=PAU,PauloCabral_Br,93,312,9.95,33,PAU
Elves,http://www.mtgtop8.com/event?e=27369&d=417057&f=PAU,N1ckles,80,108,9.95,32,PAU
Slivers,http://www.mtgtop8.com/event?e=27442&d=417962&f=PAU,Dario84,58,65,9.95,26,PAU
Slivers,http://www.mtgtop8.com/event?e=27401&d=417428&f=PAU,Mizutani Genta,49,62,9.95,24,PAU
Elves,http://www.mtgtop8.com/event?e=27144&d=413536&f=PAU,Walker735,80,104,9.95,28,PAU
Elfos,http://www.mtgtop8.com/event?e=26952&d=410864&f=PAU,Diogo Meurer (moa),76,117,9.95,32,PAU
Elves,http://www.mtgtop8.com/event?e=27167&d=413757&f=PAU,c_is_for_cookie,76,113,9.95,38,PAU
Slivers,http://www.mtgtop8.com/event?e=27357&d=416954&f=PAU,Lican009,45,57,9.95,25,PAU
Elves,http://www.mtgtop8.com/event?e=27357&d=416967&f=PAU,c_is_for_cookie,76,113,9.95,38,PAU
Slivers,http://www.mtgtop8.com/event?e=26918&d=409973&f=PAU,Isapuru,51,62,9.95,23,PAU
Slivers,http://www.mtgtop8.com/event?e=26688&d=406658&f=PAU,Diego_Brando,55,61,9.95,16,PAU
Slivers,http://www.mtgtop8.com/event?e=27096&d=413047&f=PAU,HunterBR,59,62,9.95,20,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=26683&d=406595&f=PAU,Corran62,69,69,9.95,28,PAU
Slivers,http://www.mtgtop8.com/event?e=27167&d=413740&f=PAU,HunterBR,59,61,9.95,21,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=27096&d=413061&f=PAU,albana,67,69,9.95,26,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=27167&d=413747&f=PAU,Clavere,74,75,9.95,29,PAU
Aura Hexproof,http://www.mtgtop8.com/event?e=27357&d=416958&f=PAU,BatraDS,71,73,9.95,26,PAU
Mono Blue Aggro,http://www.mtgtop8.com/event?e=27450&d=418045&f=PAU,hateatos,108,610,9.95,34,PAU
Mono Blue Delver,http://www.mtgtop8.com/event?e=27357&d=416968&f=PAU,rEPTILIUM_,104,614,9.95,35,PAU
Mono Blue Delver,http://www.mtgtop8.com/event?e=27144&d=413533&f=PAU,rEPTILIUM_,106,616,9.95,37,PAU
Ur Skred,http://www.mtgtop8.com/event?e=27050&d=412613&f=PAU,Adriano Oliveira,97,745,9.95,63,PAU
Gruul Aggro,http://www.mtgtop8.com/event?e=26688&d=406656&f=PAU,Tinkmaster,40,334,9.95,29,PAU
Jeskai Trinket,http://www.mtgtop8.com/event?e=27206&d=414064&f=PAU,Obzen,35,257,9.95,39,PAU
Gruul Aggro,http://www.mtgtop8.com/event?e=26918&d=409974&f=PAU,Oliverjuqs,35,395,9.95,18,PAU
Gruul Aggro,http://www.mtgtop8.com/event?e=27248&d=414476&f=PAU,Pasteurella,38,366,9.95,13,PAU
Grixis Delver,http://www.mtgtop8.com/event?e=27442&d=417961&f=PAU,Delmoona,68,857,9.95,25,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27441&d=417945&f=PAU,cicciogire,92,603,9.95,87,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27441&d=417937&f=PAU,rage_hs,74,588,9.95,79,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27441&d=417950&f=PAU,medvedev,92,603,9.95,86,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27441&d=417952&f=PAU,dragon7k,84,744,9.95,83,PAU
UB Faeries,http://www.mtgtop8.com/event?e=27354&d=416933&f=PAU,cicciogire,92,603,9.95,86,PAU
Ub Exhume,http://www.mtgtop8.com/event?e=27256&d=414572&f=PAU,Bruno Bordin,61,578,9.95,13,PAU
Ub Fae,http://www.mtgtop8.com/event?e=27327&d=416522&f=PAU,Jeferson Borba,74,691,9.95,76,PAU
Dimir Midrange,http://www.mtgtop8.com/event?e=27450&d=418049&f=PAU,chocotone,53,464,9.95,38,PAU
Ub Fae,http://www.mtgtop8.com/event?e=27327&d=416521&f=PAU,Leandro Wegner,74,691,9.95,76,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27354&d=416930&f=PAU,jpvasku,92,751,9.95,84,PAU
Dimir Control,http://www.mtgtop8.com/event?e=27357&d=416957&f=PAU,Calpine,29,699,9.95,25,PAU
Ub Fae,http://www.mtgtop8.com/event?e=27124&d=413328&f=PAU,Jeferson Borba,74,691,9.95,76,PAU
Dimir Midrange,http://www.mtgtop8.com/event?e=27144&d=413539&f=PAU,msskinbolic,91,702,9.95,84,PAU
Dimir Faeries,http://www.mtgtop8.com/event?e=27206&d=414069&f=PAU,Jh0w,90,702,9.95,83,PAU
Ub Fae,http://www.mtgtop8.com/event?e=27124&d=413327&f=PAU,Henrique Fernandes Souza,71,687,9.95,75,PAU
Dimir Midrange,http://www.mtgtop8.com/event?e=27144&d=413538&f=PAU,RiuuK1,72,686,9.95,75,PAU
Dimir Midrange,http://www.mtgtop8.com/event?e=27249&d=414488&f=PAU,Chocotone,53,464,9.95,39,PAU
Ub Flicker,http://www.mtgtop8.com/event?e=27234&d=414337&f=PAU,William Kock,63,571,9.95,25,PAU
Ub Fae,http://www.mtgtop8.com/event?e=27234&d=414340&f=PAU,Jeferson Borba,74,691,9.95,76,PAU
Urzatron,http://www.mtgtop8.com/event?e=27450&d=418062&f=PAU,Calpine,42,323,9.95,68,PAU
Dimir Midrange,http://www.mtgtop8.com/event?e=27166&d=413722&f=PAU,Videgain,92,603,9.95,86,PAU
Urzatron,http://www.mtgtop8.com/event?e=27441&d=417943&f=PAU,mlovbo,43,319,9.95,68,PAU
Urzatron,http://www.mtgtop8.com/event?e=27441&d=417940&f=PAU,_Tia93_,47,153,9.95,75,PAU
Urzatron,http://www.mtgtop8.com/event?e=27354&d=416935&f=PAU,mlovbo,45,323,9.95,71,PAU
Urzatron,http://www.mtgtop8.com/event?e=27441&d=417938&f=PAU,MatheusPonciano,45,323,9.95,71,PAU
Urzatron,http://www.mtgtop8.com/event?e=27369&d=417054&f=PAU,Burninho,44,75,9.95,57,PAU
Urzatron,http://www.mtgtop8.com/event?e=27248&d=414477&f=PAU,Gafanhoto,41,295,9.95,43,PAU
Urzatron,http://www.mtgtop8.com/event?e=27441&d=417947&f=PAU,HeWhoIsInTheWater,42,368,9.95,61,PAU
Urzatron,http://www.mtgtop8.com/event?e=27441&d=417951&f=PAU,Calpine,42,323,9.95,68,PAU
Urzatron,http://www.mtgtop8.com/event?e=27441&d=417948&f=PAU,Parallax,41,296,9.95,63,PAU
Urzatron,http://www.mtgtop8.com/event?e=27249&d=414485&f=PAU,_shadow_hunter_,40,293,9.95,52,PAU
UR Skred,http://www.mtgtop8.com/event?e=27441&d=417939&f=PAU,msskinbolic,88,986,9.95,50,PAU
Urzatron,http://www.mtgtop8.com/event?e=27248&d=414474&f=PAU,Pedromax,43,228,9.95,45,PAU
UR Skred,http://www.mtgtop8.com/event?e=27248&d=414478&f=PAU,Zaaaamu,77,881,9.95,64,PAU
UR Skred,http://www.mtgtop8.com/event?e=27249&d=414482&f=PAU,Zaaaamu,88,1037,9.95,48,PAU
UR Skred,http://www.mtgtop8.com/event?e=27439&d=417911&f=PAU,Zaaaamu,90,1025,9.95,49,PAU
Tron,http://www.mtgtop8.com/event?e=27206&d=414067&f=PAU,Marcelo137,35,289,9.95,53,PAU
Orzhov,http://www.mtgtop8.com/event?e=27442&d=417963&f=PAU,Slackjack,41,134,9.95,17,PAU
Ur Skred,http://www.mtgtop8.com/event?e=27124&d=413326&f=PAU,Adriano Oliveira,94,742,9.95,58,PAU
UR Skred,http://www.mtgtop8.com/event?e=27450&d=418046&f=PAU,Alleyezonme,90,812,9.95,52,PAU
UR Skred,http://www.mtgtop8.com/event?e=27248&d=414479&f=PAU,Oliverjuqs,75,887,9.95,57,PAU
UR Skred,http://www.mtgtop8.com/event?e=27167&d=413744&f=PAU,holica,90,809,9.95,53,PAU
UR Skred,http://www.mtgtop8.com/event?e=26918&d=409979&f=PAU,Zaaaamu,90,959,9.95,49,PAU
Urzatron,http://www.mtgtop8.com/event?e=27144&d=413534&f=PAU,Alleyezonme,44,147,9.95,62,PAU
Urzatron,http://www.mtgtop8.com/event?e=26688&d=406651&f=PAU,HeWhoIsInTheWater,64,699,9.95,56,PAU
UR Skred,http://www.mtgtop8.com/event?e=27167&d=413742&f=PAU,hadesblade,86,545,9.95,61,PAU
Ur Skred,http://www.mtgtop8.com/event?e=27050&d=412612&f=PAU,William Kock,89,866,9.95,44,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=27357&d=416960&f=PAU,Auripower,41,88,9.95,88,PAU
UR Skred,http://www.mtgtop8.com/event?e=26688&d=406653&f=PAU,dragon7k,75,855,9.95,65,PAU
UR Skred,http://www.mtgtop8.com/event?e=27249&d=414484&f=PAU,Clamego,84,885,9.95,46,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=27439&d=417915&f=PAU,Ravager.pe,41,75,9.95,58,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=27357&d=416949&f=PAU,kogamo,30,88,9.95,51,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=27249&d=414487&f=PAU,Ravager.pe,34,69,9.95,65,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=27096&d=413052&f=PAU,PR0boszcz,33,75,9.95,63,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=26990&d=411411&f=PAU,PR0boszcz,33,75,9.95,63,PAU
Orzhov Pestilence,http://www.mtgtop8.com/event?e=26918&d=409977&f=PAU,Ravager.pe,27,60,9.95,42,PAU
Flicker,http://www.mtgtop8.com/event?e=27450&d=418063&f=PAU,saidin.raken,53,60,9.95,23,PAU
Rakdos Midrange,http://www.mtgtop8.com/event?e=27405&d=417458&f=PAU,Fernando Shulze,51,360,9.95,50,PAU
Flicker,http://www.mtgtop8.com/event?e=27401&d=417427&f=PAU,Harada Yuuki,74,205,9.95,43,PAU
Flicker,http://www.mtgtop8.com/event?e=27441&d=417942&f=PAU,saidin.raken,68,325,9.95,23,PAU
Rakdos Midrange,http://www.mtgtop8.com/event?e=27450&d=418044&f=PAU,-F_Y_D_0-,57,428,9.95,71,PAU
Flicker,http://www.mtgtop8.com/event?e=27357&d=416955&f=PAU,DoctorMerp,67,195,9.95,21,PAU
Flicker,http://www.mtgtop8.com/event?e=27144&d=413532&f=PAU,Blloodpet,52,59,9.95,16,PAU
UW Ephemerate,http://www.mtgtop8.com/event?e=27444&d=417970&f=PAU,Fabmant,33,51,9.95,6,PAU
Bant Ephemerate,http://www.mtgtop8.com/event?e=26683&d=406592&f=PAU,Entropy263,57,664,9.95,30,PAU
Flicker,http://www.mtgtop8.com/event?e=27248&d=414480&f=PAU,Notgood,53,337,9.95,25,PAU
Flicker,http://www.mtgtop8.com/event?e=27096&d=413053&f=PAU,saidin.raken,75,146,9.95,43,PAU
Flicker,http://www.mtgtop8.com/event?e=26990&d=411414&f=PAU,saidin.raken,52,186,9.95,16,PAU
Flicker,http://www.mtgtop8.com/event?e=27354&d=416934&f=PAU,NotGood,56,361,9.95,32,PAU
Uw Familiar,http://www.mtgtop8.com/event?e=26796&d=407933&f=PAU,Roberto Silva,75,75,9.95,45,PAU
Flicker,http://www.mtgtop8.com/event?e=27357&d=416950&f=PAU,Raptor56,117,358,9.95,53,PAU
Flicker,http://www.mtgtop8.com/event?e=27167&d=413750&f=PAU,saidin.raken,66,195,9.95,22,PAU
Walls Combo,http://www.mtgtop8.com/event?e=27357&d=416962&f=PAU,gmaoMTG,59,74,9.95,39,PAU
Walls Combo,http://www.mtgtop8.com/event?e=27166&d=413723&f=PAU,killersuv,55,69,9.95,41,PAU
Walls Combo,http://www.mtgtop8.com/event?e=27354&d=416931&f=PAU,Mathonical,63,71,9.95,40,PAU
Walls Combo,http://www.mtgtop8.com/event?e=27166&d=413728&f=PAU,Mathonical,64,76,9.95,42,PAU
Walls Combo,http://www.mtgtop8.com/event?e=27096&d=413048&f=PAU,Liv_One,55,69,9.95,41,PAU
Walls Combo,http://www.mtgtop8.com/event?e=26918&d=409978&f=PAU,Kalko,54,67,9.95,40,PAU
Mardu Tortured Existence,http://www.mtgtop8.com/event?e=27253&d=414549&f=PAU,Excile2127,35,50,9.95,17,PAU
Zendikon,http://www.mtgtop8.com/event?e=26990&d=411412&f=PAU,Raptor56,101,361,9.95,32,PAU
Bg Tortex,http://www.mtgtop8.com/event?e=27206&d=414066&f=PAU,Calpine,36,48,9.95,13,PAU
Freed Zendikon,http://www.mtgtop8.com/event?e=26688&d=406652&f=PAU,Kirblinxy,98,107,9.95,33,PAU
Tortured Existence,http://www.mtgtop8.com/event?e=27167&d=413755&f=PAU,thearmadillo,30,41,9.95,6,PAU
